% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.121	1	1	13	2	1	28	2196	0	0	0
0.121	2	2	13	2	1	28	2196	0	0	0
0.122	1	1	13	3	1	28	2196	0	0	0
0.122	2	2	13	3	1	28	2196	0	0	0
0.221	1	1	23	2	1	28	2196	0	0	0
0.221	2	2	23	2	1	28	2196	0	0	0
0.222	1	1	23	3	1	28	2196	0	0	0
0.222	2	2	23	3	1	28	2196	0	0	0
0.321	1	1	33	2	1	28	2196	0	0	0
0.321	2	2	33	2	1	28	2196	0	0	0
0.322	1	1	33	3	1	28	2196	0	0	0
0.322	2	2	33	3	1	28	2196	0	0	0
0.421	1	1	43	2	1	28	2196	0	0	0
0.421	2	2	43	2	1	28	2196	0	0	0
0.422	1	1	43	3	1	28	2196	0	0	0
0.422	2	2	43	3	1	28	2196	0	0	0
0.521	1	1	53	2	1	28	2196	0	0	0
0.521	2	2	53	2	1	28	2196	0	0	0
0.522	1	1	53	3	1	28	2196	0	0	0
0.522	2	2	53	3	1	28	2196	0	0	0
0.621	1	1	63	2	1	28	2196	0	0	0
0.621	2	2	63	2	1	28	2196	0	0	0
0.622	1	1	63	3	1	28	2196	0	0	0
0.622	2	2	63	3	1	28	2196	0	0	0
0.721	1	1	73	2	1	28	2196	0	0	0
0.721	2	2	73	2	1	28	2196	0	0	0
0.722	1	1	73	3	1	28	2196	0	0	0
0.722	2	2	73	3	1	28	2196	0	0	0
0.821	1	1	83	2	1	28	2196	0	0	0
0.821	2	2	83	2	1	28	2196	0	0	0
0.822	1	1	83	3	1	28	2196	0	0	0
0.822	2	2	83	3	1	28	2196	0	0	0
0.921	1	1	93	2	1	28	2196	0	0	0
0.921	2	2	93	2	1	28	2196	0	0	0
0.922	1	1	93	3	1	28	2196	0	0	0
0.922	2	2	93	3	1	28	2196	0	0	0
1.021	1	1	103	2	1	28	2196	0	0	0
1.021	2	2	103	2	1	28	2196	0	0	0
1.022	1	1	103	3	1	28	2196	0	0	0
1.022	2	2	103	3	1	28	2196	0	0	0
1.121	1	1	113	2	1	28	2196	0	0	0
1.121	2	2	113	2	1	28	2196	0	0	0
1.122	1	1	113	3	1	28	2196	0	0	0
1.122	2	2	113	3	1	28	2196	0	0	0
1.221	1	1	123	2	1	28	2196	0	0	0
1.221	2	2	123	2	1	28	2196	0	0	0
1.222	1	1	123	3	1	28	2196	0	0	0
1.222	2	2	123	3	1	28	2196	0	0	0
1.321	1	1	133	2	1	28	2196	0	0	0
1.321	2	2	133	2	1	28	2196	0	0	0
1.322	1	1	133	3	1	28	2196	0	0	0
1.322	2	2	133	3	1	28	2196	0	0	0
1.421	1	1	143	2	1	28	2196	0	0	0
1.421	2	2	143	2	1	28	2196	0	0	0
1.422	1	1	143	3	1	28	2196	0	0	0
1.422	2	2	143	3	1	28	2196	0	0	0
1.521	1	1	153	2	1	28	2196	0	0	0
1.521	2	2	153	2	1	28	2196	0	0	0
1.522	1	1	153	3	1	28	2196	0	0	0
1.522	2	2	153	3	1	28	2196	0	0	0
1.621	1	1	163	2	1	28	2196	0	0	0
1.621	2	2	163	2	1	28	2196	0	0	0
1.622	1	1	163	3	1	28	2196	0	0	0
1.622	2	2	163	3	1	28	2196	0	0	0
1.721	1	1	173	2	1	28	2196	0	0	0
1.721	2	2	173	2	1	28	2196	0	0	0
1.722	1	1	173	3	1	28	2196	0	0	0
1.722	2	2	173	3	1	28	2196	0	0	0
1.821	1	1	183	2	1	28	2196	0	0	0
1.821	2	2	183	2	1	28	2196	0	0	0
1.822	1	1	183	3	1	28	2196	0	0	0
1.822	2	2	183	3	1	28	2196	0	0	0
1.921	1	1	193	2	1	28	2196	0	0	0
1.921	2	2	193	2	1	28	2196	0	0	0
1.922	1	1	193	3	1	28	2196	0	0	0
1.922	2	2	193	3	1	28	2196	0	0	0
2.021	1	1	203	2	1	28	2196	0	0	0
2.021	2	2	203	2	1	28	2196	0	0	0
2.022	1	1	203	3	1	28	2196	0	0	0
2.022	2	2	203	3	1	28	2196	0	0	0
2.121	1	1	213	2	1	28	2196	0	0	0
2.121	2	2	213	2	1	28	2196	0	0	0
2.122	1	1	213	3	1	28	2196	0	0	0
2.122	2	2	213	3	1	28	2196	0	0	0
2.221	1	1	223	2	1	28	2196	0	0	0
2.221	2	2	223	2	1	28	2196	0	0	0
2.222	1	1	223	3	1	28	2196	0	0	0
2.222	2	2	223	3	1	28	2196	0	0	0
2.321	1	1	233	2	1	28	2196	0	0	0
2.321	2	2	233	2	1	28	2196	0	0	0
2.322	1	1	233	3	1	28	2196	0	0	0
2.322	2	2	233	3	1	28	2196	0	0	0
2.421	1	1	243	2	1	28	2196	0	0	0
2.421	2	2	243	2	1	28	2196	0	0	0
2.422	1	1	243	3	1	28	2196	0	0	0
2.422	2	2	243	3	1	28	2196	0	0	0
2.521	1	1	253	2	1	28	2196	0	0	0
2.521	2	2	253	2	1	28	2196	0	0	0
2.522	1	1	253	3	1	28	2196	0	0	0
2.522	2	2	253	3	1	28	2196	0	0	0
2.621	1	1	263	2	1	28	2196	0	0	0
2.621	2	2	263	2	1	28	2196	0	0	0
2.622	1	1	263	3	1	28	2196	0	0	0
2.622	2	2	263	3	1	28	2196	0	0	0
2.721	1	1	273	2	1	28	2196	0	0	0
2.721	2	2	273	2	1	28	2196	0	0	0
2.722	1	1	273	3	1	28	2196	0	0	0
2.722	2	2	273	3	1	28	2196	0	0	0
2.821	1	1	283	2	1	28	2196	0	0	0
2.821	2	2	283	2	1	28	2196	0	0	0
2.822	1	1	283	3	1	28	2196	0	0	0
2.822	2	2	283	3	1	28	2196	0	0	0
2.921	1	1	293	2	1	28	2196	0	0	0
2.921	2	2	293	2	1	28	2196	0	0	0
