% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.115	1	1	12	6	1	28	2292	0
0.115	2	2	12	6	1	28	2292	0
0.215	1	1	22	6	1	28	2292	0
0.215	2	2	22	6	1	28	2292	0
0.315	1	1	32	6	1	28	2292	0
0.315	2	2	32	6	1	28	2292	0
0.415	1	1	42	6	1	28	2292	0
0.415	2	2	42	6	1	28	2292	0
0.515	1	1	52	6	1	28	2292	0
0.515	2	2	52	6	1	28	2292	0
0.615	1	1	62	6	1	28	2292	0
0.615	2	2	62	6	1	28	2292	0
0.715	1	1	72	6	1	28	2292	0
0.715	2	2	72	6	1	28	2292	0
0.815	1	1	82	6	1	28	2292	0
0.815	2	2	82	6	1	28	2292	0
0.915	1	1	92	6	1	28	2292	0
0.915	2	2	92	6	1	28	2292	0
1.015	1	1	102	6	1	28	2292	0
1.015	2	2	102	6	1	28	2292	0
1.115	1	1	112	6	1	28	2292	0
1.115	2	2	112	6	1	28	2292	0
1.215	1	1	122	6	1	28	2292	0
1.215	2	2	122	6	1	28	2292	0
1.315	1	1	132	6	1	28	2292	0
1.315	2	2	132	6	1	28	2292	0
1.415	1	1	142	6	1	28	2292	0
1.415	2	2	142	6	1	28	2292	0
1.515	1	1	152	6	1	28	2292	0
1.515	2	2	152	6	1	28	2292	0
1.615	1	1	162	6	1	28	2292	0
1.615	2	2	162	6	1	28	2292	0
1.715	1	1	172	6	1	28	2292	0
1.715	2	2	172	6	1	28	2292	0
1.815	1	1	182	6	1	28	2292	0
1.815	2	2	182	6	1	28	2292	0
1.915	1	1	192	6	1	28	2292	0
1.915	2	2	192	6	1	28	2292	0
2.015	1	1	202	6	1	28	2292	0
2.015	2	2	202	6	1	28	2292	0
2.115	1	1	212	6	1	28	2292	0
2.115	2	2	212	6	1	28	2292	0
2.215	1	1	222	6	1	28	2292	0
2.215	2	2	222	6	1	28	2292	0
2.315	1	1	232	6	1	28	2292	0
2.315	2	2	232	6	1	28	2292	0
2.415	1	1	242	6	1	28	2292	0
2.415	2	2	242	6	1	28	2292	0
2.515	1	1	252	6	1	28	2292	0
2.515	2	2	252	6	1	28	2292	0
2.615	1	1	262	6	1	28	2292	0
2.615	2	2	262	6	1	28	2292	0
2.715	1	1	272	6	1	28	2292	0
2.715	2	2	272	6	1	28	2292	0
2.815	1	1	282	6	1	28	2292	0
2.815	2	2	282	6	1	28	2292	0
2.915	1	1	292	6	1	28	2292	0
2.915	2	2	292	6	1	28	2292	0
3.015	1	1	302	6	1	28	2292	0
3.015	2	2	302	6	1	28	2292	0
3.115	1	1	312	6	1	28	2292	0
3.115	2	2	312	6	1	28	2292	0
3.215	1	1	322	6	1	28	2292	0
3.215	2	2	322	6	1	28	2292	0
3.315	1	1	332	6	1	28	2292	0
3.315	2	2	332	6	1	28	2292	0
3.415	1	1	342	6	1	28	2292	0
3.415	2	2	342	6	1	28	2292	0
3.515	1	1	352	6	1	28	2292	0
3.515	2	2	352	6	1	28	2292	0
3.615	1	1	362	6	1	28	2292	0
3.615	2	2	362	6	1	28	2292	0
