% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
121	1	1	1	0	28	2292	0	1	0
121	2	2	1	0	28	2292	0	1	0
221	1	1	1	0	28	2292	0	1	0
221	2	2	1	0	28	2292	0	1	0
321	1	1	1	0	28	2292	0	1	0
321	2	2	1	0	28	2292	0	1	0
421	1	1	1	0	28	2292	0	1	0
421	2	2	1	0	28	2292	0	1	0
521	1	1	1	0	28	2292	0	1	0
521	2	2	1	0	28	2292	0	1	0
621	1	1	1	0	28	2292	0	1	0
621	2	2	1	0	28	2292	0	1	0
721	1	1	1	0	28	2292	0	1	0
721	2	2	1	0	28	2292	0	1	0
821	1	1	1	0	28	2292	0	1	0
821	2	2	1	0	28	2292	0	1	0
921	1	1	1	0	28	2292	0	1	0
921	2	2	1	0	28	2292	0	1	0
1021	1	1	1	0	28	2292	0	1	0
1021	2	2	1	0	28	2292	0	1	0
1121	1	1	1	0	28	2292	0	1	0
1121	2	2	1	0	28	2292	0	1	0
1221	1	1	1	0	28	2292	0	1	0
1221	2	2	1	0	28	2292	0	1	0
1321	1	1	1	0	28	2292	0	1	0
1321	2	2	1	0	28	2292	0	1	0
1421	1	1	1	0	28	2292	0	1	0
1421	2	2	1	0	28	2292	0	1	0
1521	1	1	1	0	28	2292	0	1	0
1521	2	2	1	0	28	2292	0	1	0
1621	1	1	1	0	28	2292	0	1	0
1621	2	2	1	0	28	2292	0	1	0
1721	1	1	1	0	28	2292	0	1	0
1721	2	2	1	0	28	2292	0	1	0
1821	1	1	1	0	28	2292	0	1	0
1821	2	2	1	0	28	2292	0	1	0
1921	1	1	1	0	28	2292	0	1	0
1921	2	2	1	0	28	2292	0	1	0
2021	1	1	1	0	28	2292	0	1	0
2021	2	2	1	0	28	2292	0	1	0
2121	1	1	1	0	28	2292	0	1	0
2121	2	2	1	0	28	2292	0	1	0
2221	1	1	1	0	28	2292	0	1	0
2221	2	2	1	0	28	2292	0	1	0
2321	1	1	1	0	28	2292	0	1	0
2321	2	2	1	0	28	2292	0	1	0
2421	1	1	1	0	28	2292	0	1	0
2421	2	2	1	0	28	2292	0	1	0
2521	1	1	1	0	28	2292	0	1	0
2521	2	2	1	0	28	2292	0	1	0
2621	1	1	1	0	28	2292	0	1	0
2621	2	2	1	0	28	2292	0	1	0
2721	1	1	1	0	28	2292	0	1	0
2721	2	2	1	0	28	2292	0	1	0
2821	1	1	1	0	28	2292	0	1	0
2821	2	2	1	0	28	2292	0	1	0
2921	1	1	1	0	28	2292	0	1	0
2921	2	2	1	0	28	2292	0	1	0
3021	1	1	1	0	28	2292	0	1	0
3021	2	2	1	0	28	2292	0	1	0
3121	1	1	1	0	28	2292	0	1	0
3121	2	2	1	0	28	2292	0	1	0
3221	1	1	1	0	28	2292	0	1	0
3221	2	2	1	0	28	2292	0	1	0
3321	1	1	1	0	28	2292	0	1	0
3321	2	2	1	0	28	2292	0	1	0
3421	1	1	1	0	28	2292	0	1	0
3421	2	2	1	0	28	2292	0	1	0
3521	1	1	1	0	28	2292	0	1	0
3521	2	2	1	0	28	2292	0	1	0
3621	1	1	1	0	28	2292	0	1	0
3621	2	2	1	0	28	2292	0	1	0
3721	1	1	1	0	28	2292	0	1	0
