,0,1,2,3
0,Time,CarID,Speed,Battery
0,3.0,0,0.0,19542.0
0,3.0,1,0.0,23097.0
0,4.0,0,2.5399434451246634,19515.4
0,4.0,1,1.9331437272019685,23077.760000000002
0,4.0,3,0.0,20413.0
0,5.0,0,4.316423790599219,19469.14
0,5.0,1,3.312392877880484,23044.08
0,5.0,3,2.2008171177469196,20390.6
0,5.0,2,0.0,16295.0
0,6.0,0,5.67285639429465,19410.4
0,6.0,1,5.021800856478512,22990.04
0,6.0,3,4.59397860178724,20338.54
0,6.0,2,0.35006819699099695,16291.98
0,6.0,5,0.0,19608.0
0,7.0,0,8.104668090958148,19314.239999999998
0,7.0,1,7.087052150466478,22909.4
0,7.0,3,6.763278716010974,20261.200000000004
0,7.0,2,2.7870713949543466,16262.3
0,7.0,5,1.34609439347405,19595.28
0,8.0,0,9.649457764416,19210.28
0,8.0,1,8.818488641525617,22810.560000000005
0,8.0,3,9.049473166326063,20154.820000000007
0,8.0,2,5.2713422630322215,16201.380000000001
0,8.0,5,3.0158668136922646,19564.019999999997
0,8.0,4,0.0,17820.0
0,8.0,6,0.0,16793.0
0,9.0,0,11.538657924113794,19079.519999999997
0,9.0,1,11.185817337082696,22675.440000000002
0,9.0,3,11.613283756817692,20012.320000000007
0,9.0,2,6.664803218782419,16131.720000000001
0,9.0,5,4.325916423229501,19519.859999999993
0,9.0,4,2.5129344497574495,17793.739999999998
0,9.0,6,2.2375057292403655,16770.14
0,9.0,8,0.0,18978.0
0,10.0,0,13.256376965274102,18931.879999999997
0,10.0,1,13.279142268560824,22520.260000000002
0,10.0,3,13.836235152743757,19847.740000000005
0,10.0,2,8.714616992684551,16032.120000000003
0,10.0,5,6.259248373401351,19449.899999999994
0,10.0,4,4.313284583296627,17747.4
0,10.0,6,4.561429150379263,16718.739999999998
0,10.0,8,1.2842087738647292,18965.940000000002
0,10.0,7,0.0,23485.0
0,10.0,9,0.0,21536.0
0,11.0,0,15.263866949500514,18754.379999999997
0,11.0,1,15.49392596138641,22331.82
0,11.0,3,15.795750704593958,19664.920000000006
0,11.0,2,10.178636881324001,15923.480000000003
0,11.0,5,8.324844370991924,19354.759999999995
0,11.0,4,6.167536052642391,17679.5
0,11.0,6,6.608794894558377,16644.22
0,11.0,8,3.4384750651161355,18928.700000000004
0,11.0,7,0.1672461252668949,23483.58
0,11.0,9,0.23165534368182816,21534.019999999997
0,11.0,11,0.0,18586.0
0,12.0,0,17.239837937965056,18553.739999999998
0,12.0,1,16.822248410177416,22144.519999999997
0,12.0,3,18.212248173868286,19440.300000000003
0,12.0,2,12.72326400302025,15767.000000000004
0,12.0,5,9.825710719265045,19246.499999999993
0,12.0,4,8.259675520984457,17584.86
0,12.0,6,8.062197477952576,16558.840000000004
0,12.0,8,5.838844222641846,18860.920000000006
0,12.0,7,1.8893146448079574,23464.880000000005
0,12.0,9,2.3485607288445096,21509.859999999993
0,12.0,11,1.672741385549307,18569.72
0,12.0,10,0.0,21505.0
0,13.0,0,19.074018339277245,18334.54
0,13.0,1,18.65175571599975,21915.359999999993
0,13.0,3,20.36432474055328,19195.82
0,13.0,2,14.962794838344216,15588.040000000005
0,13.0,5,11.680371571867727,19114.659999999996
0,13.0,4,10.366383299487644,17464.699999999997
0,13.0,6,9.799904899252578,16450.500000000007
0,13.0,8,8.30510503446806,18761.600000000006
0,13.0,7,3.6042120936336075,23426.9
0,13.0,9,4.3884452129847125,21461.659999999996
0,13.0,11,3.0969868287444116,18538.200000000004
0,13.0,10,1.4864713471382858,21490.78
0,13.0,12,0.0,21735.0
0,14.0,0,21.233505460293966,18078.800000000003
0,14.0,1,21.236589440633544,21644.479999999996
0,14.0,3,22.74656935832464,18913.04
0,14.0,2,17.561682932159403,15367.180000000004
0,14.0,5,13.648038134933449,18956.499999999993
0,14.0,4,12.110167732532137,17329.78
0,14.0,6,11.950322671770117,16310.440000000006
0,14.0,8,9.723211139902768,18655.680000000008
0,14.0,7,5.009994749935352,23374.92
0,14.0,9,5.951102506708609,21398.379999999997
0,14.0,11,4.5226134796394035,18491.340000000004
0,14.0,10,3.5510541596915575,21452.4
0,14.0,12,0.35769399836634874,21731.92
0,14.0,15,0.0,19166.0
0,14.0,16,0.0,17762.0
0,15.0,0,22.736730286222887,17826.120000000003
0,15.0,1,23.41613521012478,21359.899999999994
0,15.0,3,24.712892276863574,18620.1
0,15.0,2,19.72900560117467,15130.120000000003
0,15.0,5,15.30795313490089,18779.09999999999
0,15.0,4,14.44041013312526,17155.46
0,15.0,6,13.333298995322545,16168.700000000004
0,15.0,8,11.745232160176446,18520.26000000001
